years_bp,temperature,precipitation,source_period
1000.0,-43.35601542703037,541.6498981009321,Mid Holocene
1151.395399326447,-43.35601542703037,541.6498981009321,Mid Holocene
1325.7113655901096,-43.35601542703037,541.6498981009321,Mid Holocene
1526.4179671752333,-43.35601542703037,541.6498981009321,Mid Holocene
1757.510624854791,-43.35601542703037,541.6498981009321,Mid Holocene
2023.5896477251576,-43.35601542703037,541.6498981009321,Mid Holocene
2329.951810515372,-43.35601542703037,541.6498981009321,Mid Holocene
2682.6957952797247,-43.35601542703037,541.6498981009321,Mid Holocene
3088.8435964774817,-43.35601542703037,541.6498981009321,Mid Holocene
3556.4803062231285,-43.35601542703037,541.6498981009321,Mid Holocene
4094.9150623804276,-43.35601542703037,541.6498981009321,Mid Holocene
4714.866363457394,-43.35601542703037,541.6498981009321,Mid Holocene
5428.67543932386,-43.35601542703037,541.6498981009321,Mid Holocene
6250.551925273976,-43.35601542703037,541.6498981009321,Mid Holocene
7196.856730011521,-43.35601542703037,541.6498981009321,Mid Holocene
8286.427728546843,-43.35601542703037,541.6498981009321,Mid Holocene
9540.954763499944,-43.35601542703037,541.6498981009321,Mid Holocene
10985.411419875572,-43.35601542703037,541.6498981009321,Mid Holocene
12648.552168552958,-43.35601542703037,541.6498981009321,Mid Holocene
14563.484775012445,-43.35601542703037,541.6498981009321,Mid Holocene
16768.3293681101,-43.35601542703037,541.6498981009321,Mid Holocene
19306.977288832495,-43.35601542703037,541.6498981009321,Mid Holocene
22229.964825261955,-43.35601542703037,541.6498981009321,Mid Holocene
25595.479226995332,-43.35601542703037,541.6498981009321,Mid Holocene
29470.517025518096,-43.35601542703037,541.6498981009321,Mid Holocene
33932.217718953296,-43.35601542703037,541.6498981009321,Mid Holocene
39069.39937054621,-43.35601542703037,541.6498981009321,Mid Holocene
44984.32668969444,-43.35601542703037,541.6498981009321,Mid Holocene
51794.74679231213,-43.35601542703037,541.6498981009321,Mid Holocene
59636.23316594637,-43.35601542703037,541.6498981009321,Mid Holocene
68664.88450042998,78.51816260343485,716.3556515860723,Last Interglacial
79060.43210907701,78.51816260343485,716.3556515860723,Last Interglacial
91029.81779915227,78.51816260343485,716.3556515860723,Last Interglacial
104811.31341546852,78.51816260343485,716.3556515860723,Last Interglacial
120679.26406393289,78.51816260343485,716.3556515860723,Last Interglacial
138949.5494373136,78.51816260343485,716.3556515860723,Last Interglacial
159985.87196060573,78.51816260343485,716.3556515860723,Last Interglacial
184206.99693267164,78.51816260343485,716.3556515860723,Last Interglacial
212095.08879201926,78.51816260343485,716.3556515860723,Last Interglacial
244205.30945486497,78.51816260343485,716.3556515860723,Last Interglacial
281176.8697974231,78.51816260343485,716.3556515860723,Last Interglacial
323745.754281764,78.51816260343485,716.3556515860723,Last Interglacial
372759.3720314938,78.51816260343485,716.3556515860723,Last Interglacial
429193.42601287784,78.51816260343485,716.3556515860723,Last Interglacial
494171.33613238385,-34.03906698044179,558.4696936737398,MIS19
568986.6029018293,-34.03906698044179,558.4696936737398,MIS19
655128.5568595509,-34.03906698044179,558.4696936737398,MIS19
754312.0063354607,-34.03906698044179,558.4696936737398,MIS19
868511.3737513521,-34.03906698044179,558.4696936737398,MIS19
1000000.0,-34.03906698044179,558.4696936737398,MIS19
