period,years_bp,code,temperature_mean,temperature_std,precipitation_mean,precipitation_std
Mid Holocene,6000,mh,-43.35601542703037,238.111105396119,541.6498981009321,666.7359851264263
Last Interglacial,130000,lig,78.51816260343485,139.4081326127705,716.3556515860723,700.8185607500524
MIS19,787000,mis19,-34.03906698044179,235.62498214261055,558.4696936737398,691.0763212787244
